0.001	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	407800	189400	360600	118500	188701	0.0113508	0.00398178	0	0	0	0	0	0	0	0	0	0	81.9154	0.952052	1.47876	0.0307263	18.3225	0.250817	0.160417	0.0154769	0.0113508	0.00398178
0.001	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	407800	189400	360600	118500	188701	0.00950195	0.0029213	0	0	0	0	0	0	0	0	0	0	81.9136	1.05125	1.4662	0.0339862	18.3315	0.185136	0.162469	0.00821623	0.00950195	0.0029213
0.001	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	407800	189400	360600	118500	188701	0.0147604	0.00475268	0	0	0	0	0	0	0	0	0	0	80.3007	0.153431	1.45347	0.042088	18.0773	0.133511	0.153731	0.013012	0.0147604	0.00475268
0.0015	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	137600	59990	119100	40220	547001	0.0477911	0.00917794	0	0	0	0	0	0	0	0	0	0	80.347	0.12067	1.46127	0.0222136	18.0501	0.117521	0.0937759	0.00954456	0.0477911	0.00917794
0.002	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	61730	25930	52790	226300	270602	0.0812296	0.0112113	0	0	0	0	0	0	0	0	0	0	80.4246	0.105416	1.45147	0.0408034	17.9864	0.0959678	0.0557256	0.00340012	0.0812296	0.0112113
0.003	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	19290	7743	16250	78800	95712.6	0.105002	0.00645136	0	0	0	0	0	0	0	0	0	0	80.376	0.0821078	1.50035	0.046934	17.9971	0.0444524	0.0206794	0.00531644	0.105002	0.00645136
0.004	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	8278	3242	7788	36050	44613.4	0.118173	0.0125495	0	0	0	0	0	0	0	0	0	0	80.5714	0.162219	1.52512	0.0379535	17.7749	0.163474	0.00913681	0.00309376	0.118173	0.0125495
0.005	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	4258	1643	4027	19340	24414.2	0.129612	0.00996219	0	0	0	0	0	0	0	0	0	0	80.9484	0.140016	1.77921	0.0387977	17.1331	0.136807	0.00642549	0.00201838	0.129612	0.00996219
0.006	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	2464	943.2	2341	11530	14814.9	0.188454	0.0119715	0	0	0	0	0	0	0	0	0	0	81.0845	0.105182	2.22187	0.0459874	16.49	0.117823	0.00461857	0.00169232	0.188454	0.0119715
0.008	100000	500	500	500	-40	40	-40	40	0	80	0.001	0.0013	1.225e-06	0.0027	0.00532	1037	397.5	992.1	5033	6681.08	0.566779	0.0128547	0.000502015	0.000809473	30	45.8258	0	0	0	0	0	0	79.9827	0.0862588	4.59026	0.0431002	14.7891	0.078612	0.00612459	0.00203041	0.56693	0.012859
