1	0.0147604	0.00475268	0	0	0	0	0	0	0	0	0	0	80.3007	0.153431	1.45347	0.042088	18.0773	0.133511	0.153731	0.013012	0.0147604	0.00475268
1.5	0.0477911	0.00917794	0	0	0	0	0	0	0	0	0	0	80.347	0.12067	1.46127	0.0222136	18.0501	0.117521	0.0937759	0.00954456	0.0477911	0.00917794
2	0.0812296	0.0112113	0	0	0	0	0	0	0	0	0	0	80.4246	0.105416	1.45147	0.0408034	17.9864	0.0959678	0.0557256	0.00340012	0.0812296	0.0112113
3	0.105002	0.00645136	0	0	0	0	0	0	0	0	0	0	80.376	0.0821078	1.50035	0.046934	17.9971	0.0444524	0.0206794	0.00531644	0.105002	0.00645136
4	0.118173	0.0125495	0	0	0	0	0	0	0	0	0	0	80.5714	0.162219	1.52512	0.0379535	17.7749	0.163474	0.00913681	0.00309376	0.118173	0.0125495
5	0.129612	0.00996219	0	0	0	0	0	0	0	0	0	0	80.9484	0.140016	1.77921	0.0387977	17.1331	0.136807	0.00642549	0.00201838	0.129612	0.00996219
6	0.188454	0.0119715	0	0	0	0	0	0	0	0	0	0	81.0845	0.105182	2.22187	0.0459874	16.49	0.117823	0.00461857	0.00169232	0.188454	0.0119715
8	0.566779	0.0128547	0.000502015	0.000809473	30	45.8258	0	0	0	0	0	0	79.9827	0.0862588	4.59026	0.0431002	14.7891	0.078612	0.00612459	0.00203041	0.56693	0.012859
10	1.55418	0.0442022	0.00341373	0.00201824	90	30	0	0	0	0	0	0	75.9133	0.127967	9.00272	0.131049	13.3239	0.0935725	0.00702809	0.00190548	1.55726	0.0442514
15	10.8372	0.0913239	0.0100396	0.00228898	98.8889	3.33333	0	0	0	0	1.11111	3.33333	55.8162	0.129488	21.7154	0.141511	10.847	0.0676143	0.0118469	0.00279654	10.8472	0.0913526
20	28.5572	0.0655822	0.0663735	0.00872461	99.8413	0.47619	0	0	0	0	0.15873	0.47619	37.8597	0.0930984	22.9644	0.0841956	9.05932	0.0582169	0.0146605	0.00262698	28.6234	0.066159
30	54.3276	0.173621	0.464329	0.017122	98.597	0.417636	0.649802	0.41894	0.106136	0.106251	0.647054	0.295211	21.73	0.100131	13.7189	0.0854498	7.28241	0.061264	0.0116459	0.00308469	54.7854	0.174451
40	64.4214	0.138119	1.33529	0.0330341	96.7805	0.325521	1.7239	0.308156	0.900487	0.210291	0.595144	0.184108	16.4444	0.107627	8.31156	0.0768606	6.53833	0.0660387	0.0101403	0.0029257	65.7137	0.141838
50	67.6136	0.206865	2.76077	0.0416326	94.3441	0.350538	2.92527	0.378513	2.18528	0.189498	0.545337	0.0970755	14.3911	0.123729	5.82213	0.0980782	6.18898	0.0803672	0.00722877	0.00249216	70.2183	0.210783
60	68.1922	0.175509	4.79124	0.0696482	91.4321	0.346136	4.88702	0.225727	3.15126	0.219331	0.529617	0.0905367	13.14	0.0970047	4.53634	0.0848577	5.94256	0.0675786	0.00883457	0.00275977	72.5729	0.18744
80	64.6422	0.16861	10.5962	0.0798526	86.3338	0.225432	9.03389	0.236286	4.11003	0.168209	0.522261	0.0574264	11.9261	0.0681521	3.4386	0.0685888	5.52604	0.0389299	0.00712827	0.00138068	73.7902	0.183719
100	57.7942	0.203151	18.2345	0.162467	79.3938	0.244783	15.3427	0.301562	4.65453	0.109366	0.607924	0.0605384	11.1254	0.100072	2.93084	0.0518324	5.31228	0.0542218	0.00873507	0.00224761	72.2712	0.244746
150	36.7965	0.147182	36.7922	0.151414	63.281	0.270677	28.7756	0.264015	7.1713	0.150648	0.736258	0.0440888	9.9713	0.0756302	2.44428	0.0570959	4.81778	0.0747686	0.00773119	0.00261978	60.079	0.201894
200	21.4798	0.114809	47.3591	0.0850329	47.4342	0.224148	39.4751	0.266607	12.1187	0.154962	0.817258	0.0397699	9.16088	0.0922822	2.2102	0.0499819	4.45163	0.0623727	0.00863463	0.00321297	43.9441	0.161483
300	8.37057	0.0757525	53.5785	0.13369	29.069	0.218151	49.7398	0.158026	19.8651	0.106264	0.90189	0.0434324	8.03163	0.0531516	1.93814	0.0330162	3.92807	0.0640018	0.01014	0.00226545	23.9453	0.144604
400	4.17023	0.0493644	54.0422	0.149573	20.5754	0.12193	53.2935	0.195683	24.5601	0.158028	0.939343	0.0452106	7.20726	0.0547645	1.74653	0.0427103	3.5824	0.0449064	0.00973842	0.00220121	15.2896	0.0878972
500	2.44984	0.0582424	52.9987	0.102339	16.2847	0.166374	54.4359	0.171752	27.4699	0.174	0.978705	0.0294593	6.62228	0.10015	1.63245	0.0331775	3.27073	0.0460114	0.0100403	0.00269399	11.0805	0.106981
600	1.62174	0.0493033	51.6759	0.12954	13.619	0.133584	54.9448	0.19803	29.4893	0.187614	1.01939	0.0202475	6.16369	0.0957394	1.49323	0.0416659	3.03546	0.0368726	0.0109434	0.00389957	8.6595	0.0866445
800	0.887988	0.0313122	48.9067	0.105107	10.6081	0.200085	54.9375	0.263356	32.2952	0.175743	1.02835	0.0491904	5.46811	0.0464774	1.31642	0.0300291	2.7198	0.0438655	0.00983991	0.00313686	6.07606	0.103346
1000	0.589951	0.0250942	46.3126	0.152349	9.05687	0.114564	54.4524	0.119061	34.117	0.180377	1.09235	0.0575424	4.95125	0.0537354	1.2039	0.0413503	2.45168	0.0553083	0.0074298	0.0028474	4.78442	0.0602927
