#Distancia emision (mm) 	 Distancia captura desde emision 	 Distancia captura en detector (mm)
4.7644764	6.9446945	11.7091709
4.2484248	6.2526253	10.5010501
1.2481248	2.6722672	3.9203920
4.5884588	7.7527753	12.3412341
2.6002600	0.9840984	3.5843584
3.0043004	8.2888289	11.2931293
4.4884488	6.5446545	11.0331033
4.8884888	7.4847485	12.3732373
4.1964196	6.3326333	10.5290529
0.1160116	11.9091909	12.0252025
1.4801480	9.4969497	10.9770977
4.5164516	6.1046105	10.6210621
2.5882588	8.9008901	11.4891489
4.8644864	5.6525653	10.5170517
1.6401640	9.4969497	11.1371137
2.3762376	8.5968597	10.9730973
0.2640264	0.0480048	0.3120312
1.9321932	2.8522852	4.7844784
4.1404140	6.4326433	10.5730573
2.3882388	8.2968297	10.6850685
2.0202020	9.6409641	11.6611661
2.6202620	7.9727973	10.5930593
2.5402540	8.0648065	10.6050605
1.8961896	8.8808881	10.7770777
2.2602260	9.0969097	11.3571357
1.8041804	9.0209021	10.8250825
1.9361936	8.5848585	10.5210521
4.0124012	6.8046805	10.8170817
0.9240924	0.1600160	1.0841084
1.5401540	3.3763376	4.9164916
2.4842484	0.8200820	3.3043304
4.0604060	7.1567157	11.2171217
3.9563956	7.8767877	11.8331833
1.8521852	8.8128813	10.6650665
1.8521852	9.9649965	11.8171817
1.2161216	9.3089309	10.5250525
0.3240324	10.3650365	10.6890689
4.6564656	5.9725973	10.6290629
1.1481148	2.7602760	3.9083908
2.7802780	7.9527953	10.7330733
4.3844384	3.7923792	8.1768177
0.3480348	10.9850985	11.3331333
0.3760376	0.9840984	1.3601360
2.0682068	8.5968597	10.6650665
0.1200120	7.7287729	7.8487849
4.4764476	6.7846785	11.2611261
3.1723172	4.8884888	8.0608061
4.4044404	6.1406141	10.5450545
0.0560056	11.4011401	11.4571457
3.5483548	7.0887089	10.6370637
0.1080108	10.7010701	10.8090809
1.9041904	8.6368637	10.5410541
0.3200320	0.7440744	1.0641064
0.0800080	0.4760476	0.5560556
4.7924792	5.9965997	10.7890789
2.9362936	8.4968497	11.4331433
3.5203520	10.6450645	14.1654165
2.8122812	8.5568557	11.3691369
0.0360036	11.1931193	11.2291229
3.0123012	8.6368637	11.6491649
1.0401040	10.1370137	11.1771177
3.1403140	8.0328033	11.1731173
1.3161316	6.7526753	8.0688069
4.7964796	6.0966097	10.8930893
3.1723172	8.2608261	11.4331433
3.1403140	7.8527853	10.9930993
0.6840684	10.1410141	10.8250825
0.2800280	10.2650265	10.5450545
0.0240024	2.6802680	2.7042704
4.3124312	6.9206921	11.2331233
1.7241724	8.8448845	10.5690569
0.3360336	10.5210521	10.8570857
1.8201820	8.8968897	10.7170717
4.9244924	6.7046705	11.6291629
1.2561256	10.5850585	11.8411841
0.4360436	10.3490349	10.7850785
4.2244224	6.4006401	10.6250625
2.0922092	2.6282628	4.7204720
4.2084208	7.3767377	11.5851585
0.1880188	11.7771777	11.9651965
1.2001200	9.5609561	10.7610761
2.0402040	9.3529353	11.3931393
0.3560356	10.1770177	10.5330533
3.1483148	7.8887889	11.0371037
1.2041204	9.8089809	11.0131013
0.7680768	9.9329933	10.7010701
2.6442644	8.5048505	11.1491149
1.9281928	8.6648665	10.5930593
1.3481348	9.6329633	10.9810981
4.0604060	7.0127013	11.0731073
4.9564956	5.5645565	10.5210521
4.8564856	6.1166117	10.9730973
1.0761076	3.3843384	4.4604460
4.2924292	6.7126713	11.0051005
1.0441044	9.4729473	10.5170517
3.0363036	7.8847885	10.9210921
2.7762776	8.1648165	10.9410941
1.6881688	8.8648865	10.5530553
1.6241624	9.0289029	10.6530653
1.1321132	10.0890089	11.2211221
1.1521152	10.2330233	11.3851385
1.6281628	8.9168917	10.5450545
4.2804280	7.1847185	11.4651465
1.2561256	9.8969897	11.1531153
3.9323932	7.3167317	11.2491249
2.1082108	8.4008401	10.5090509
3.6003600	6.9006901	10.5010501
2.0242024	8.5808581	10.6050605
0.0720072	10.4890489	10.5610561
2.1442144	9.1249125	11.2691269
1.7721772	10.6330633	12.4052405
2.8962896	8.0688069	10.9650965
0.9000900	2.7642764	3.6643664
3.0043004	7.7407741	10.7450745
3.8043804	7.4687469	11.2731273
4.3404340	6.5126513	10.8530853
2.4522452	8.4288429	10.8810881
1.0721072	10.0410041	11.1131113
3.1003100	7.8567857	10.9570957
3.1523152	7.8647865	11.0171017
0.7720772	2.7202720	3.4923492
3.2163216	7.4447445	10.6610661
0.7560756	10.5490549	11.3051305
0.8440844	10.0810081	10.9250925
0.5200520	10.3690369	10.8890889
2.4082408	5.4925493	7.9007901
0.3560356	2.0762076	2.4322432
4.2284228	6.4846485	10.7130713
0.4320432	11.1171117	11.5491549
2.6762676	8.3088309	10.9850985
2.5322532	8.3088309	10.8410841
3.7963796	6.7326733	10.5290529
2.3642364	8.1528153	10.5170517
0.5880588	11.7811781	12.3692369
2.3522352	8.3568357	10.7090709
2.0402040	8.9008901	10.9410941
4.6604660	5.8925893	10.5530553
2.6282628	0.6440644	3.2723272
4.8604860	6.0486049	10.9090909
2.1722172	1.8681868	4.0404040
3.6563656	8.7688769	12.4252425
2.3762376	1.9241924	4.3004300
4.4404440	6.1206121	10.5610561
2.3562356	1.0321032	3.3883388
0.8840884	9.6369637	10.5210521
3.8483848	6.7486749	10.5970597
4.6764676	5.8765877	10.5530553
4.5164516	6.3046305	10.8210821
2.4162416	8.2728273	10.6890689
1.3801380	0.6960696	2.0762076
0.3720372	1.0881088	1.4601460
0.2080208	10.5370537	10.7450745
4.0844084	6.4326433	10.5170517
4.2124212	7.5207521	11.7331733
1.6641664	2.5082508	4.1724172
3.2643264	0.3960396	3.6603660
2.3562356	8.8488849	11.2051205
3.8523852	6.6686669	10.5210521
3.8283828	7.8087809	11.6371637
1.2041204	9.4409441	10.6450645
4.4924492	0.5000500	4.9924992
1.4761476	2.8682868	4.3444344
3.7683768	1.1521152	4.9204920
0.5760576	0.0160016	0.5920592
1.1041104	9.7609761	10.8650865
3.3643364	7.1687169	10.5330533
1.5481548	9.8489849	11.3971397
1.8721872	9.1649165	11.0371037
1.6481648	8.8528853	10.5010501
3.5683568	7.0087009	10.5770577
0.3360336	12.2812281	12.6172617
1.1041104	9.7809781	10.8850885
2.8202820	9.0929093	11.9131913
0.6640664	9.9129913	10.5770577
1.3481348	10.1250125	11.4731473
1.6881688	8.9648965	10.6530653
2.8602860	8.1648165	11.0251025
2.0402040	8.7608761	10.8010801
1.3241324	10.2210221	11.5451545
0.4680468	10.2410241	10.7090709
0.8480848	10.3650365	11.2131213
2.5002500	8.8408841	11.3411341
2.4202420	2.5282528	4.9484948
2.0402040	8.7648765	10.8050805
4.2844284	7.5047505	11.7891789
2.0402040	8.6088609	10.6490649
3.7083708	7.0927093	10.8010801
2.1162116	8.9328933	11.0491049
3.2203220	7.3607361	10.5810581
3.6563656	7.1447145	10.8010801
0.3640364	10.1530153	10.5170517
4.7524752	6.3166317	11.0691069
2.0202020	9.9649965	11.9851985
0.9640964	10.2010201	11.1651165
3.2883288	7.3247325	10.6130613
3.9283928	6.6526653	10.5810581
0.9360936	10.3490349	11.2851285
4.6924692	5.8085809	10.5010501
3.5443544	7.1607161	10.7050705
0.1120112	11.3691369	11.4811481
0.5160516	10.2810281	10.7970797
0.4440444	2.3202320	2.7642764
0.2520252	10.8170817	11.0691069
2.7042704	8.2448245	10.9490949
4.1964196	6.8046805	11.0011001
4.9284928	5.6085609	10.5370537
0.8280828	9.8009801	10.6290629
0.2240224	10.4210421	10.6450645
0.2640264	10.5330533	10.7970797
2.8522852	8.0488049	10.9010901
3.7723772	6.9686969	10.7410741
4.2124212	3.5603560	7.7727773
1.7761776	1.7641764	3.5403540
3.4763476	7.2487249	10.7250725
0.0960096	10.5410541	10.6370637
0.1120112	10.6410641	10.7530753
1.6801680	9.4609461	11.1411141
1.1121112	10.0690069	11.1811181
0.0840084	11.8131813	11.8971897
3.6643664	7.3807381	11.0451045
0.7600760	10.1850185	10.9450945
3.1083108	8.7848785	11.8931893
4.5924592	6.6526653	11.2451245
4.1084108	3.8403840	7.9487949
1.5521552	10.1690169	11.7211721
1.8881888	1.3161316	3.2043204
4.8404840	5.7285729	10.5690569
2.8242824	9.9289929	12.7532753
0.2480248	1.5681568	1.8161816
1.6401640	6.5886589	8.2288229
3.6643664	8.6408641	12.3052305
1.1121112	9.4609461	10.5730573
2.3242324	9.2489249	11.5731573
0.4680468	7.4407441	7.9087909
3.0923092	8.0688069	11.1611161
4.5804580	5.9365937	10.5170517
2.6242624	7.9407941	10.5650565
3.2723272	7.6407641	10.9130913
3.1163116	8.3688369	11.4851485
2.0362036	8.4888489	10.5250525
3.4283428	7.2647265	10.6930693
0.1560156	10.3450345	10.5010501
3.8203820	8.5488549	12.3692369
1.3641364	1.8161816	3.1803180
4.1444144	6.4286429	10.5730573
1.6841684	8.8488849	10.5330533
4.7844784	5.8605861	10.6450645
2.3602360	10.0410041	12.4012401
4.6684668	5.9165917	10.5850585
0.1560156	10.4490449	10.6050605
4.3964396	6.9646965	11.3611361
2.2362236	8.4688469	10.7050705
4.4964496	6.7246725	11.2211221
2.4002400	2.1002100	4.5004500
0.4280428	10.2810281	10.7090709
0.7480748	10.6850685	11.4331433
2.8602860	8.6768677	11.5371537
1.8601860	8.8608861	10.7210721
0.4840484	10.3210321	10.8050805
0.6520652	10.4370437	11.0891089
4.6964696	6.2166217	10.9130913
3.3323332	4.7404740	8.0728073
3.3243324	7.5607561	10.8850885
0.1000100	10.5690569	10.6690669
2.7282728	8.2728273	11.0011001
0.1040104	11.4171417	11.5211521
3.9003900	7.4407441	11.3411341
1.4561456	9.2049205	10.6610661
3.7083708	8.1568157	11.8651865
4.6964696	6.3526353	11.0491049
4.4924492	6.5246525	11.0171017
4.9404940	5.8765877	10.8170817
2.9082908	7.8927893	10.8010801
0.8280828	9.9009901	10.7290729
1.4961496	9.1569157	10.6530653
0.7600760	10.0850085	10.8450845
4.8804880	3.1283128	8.0088009
3.9443944	6.7326733	10.6770677
1.2361236	9.3409341	10.5770577
3.2963296	2.1602160	5.4565457
1.9921992	11.1931193	13.1853185
2.2722272	9.0129013	11.2851285
2.0922092	9.3969397	11.4891489
4.4404440	6.4286429	10.8690869
4.8724872	6.6206621	11.4931493
0.0320032	11.0131013	11.0451045
4.4884488	6.9406941	11.4291429
2.0002000	9.2049205	11.2051205
3.6923692	7.6567657	11.3491349
1.0121012	9.6209621	10.6330633
0.2560256	5.2365237	5.4925493
1.0361036	9.7449745	10.7810781
3.7523752	0.8480848	4.6004600
0.6160616	10.3490349	10.9650965
3.7083708	0.3800380	4.0884088
1.5921592	1.7881788	3.3803380
1.4681468	6.7646765	8.2328233
3.1883188	7.7407741	10.9290929
1.7081708	10.7250725	12.4332433
2.8202820	7.8167817	10.6370637
0.5960596	3.3843384	3.9803980
3.1643164	7.3527353	10.5170517
4.6284628	7.9927993	12.6212621
1.6161616	3.1323132	4.7484748
2.3122312	8.4288429	10.7410741
4.3924392	6.2886289	10.6810681
3.3283328	9.3129313	12.6412641
3.5763576	7.5487549	11.1251125
1.2241224	10.1290129	11.3531353
3.3723372	7.9847985	11.3571357
3.6603660	6.8846885	10.5450545
3.9123912	9.9769977	13.8893889
1.1121112	9.3889389	10.5010501
1.8961896	6.3166317	8.2128213
1.0121012	9.7529753	10.7650765
3.6883688	7.0127013	10.7010701
2.9602960	1.1001100	4.0604060
4.0724072	6.9486949	11.0211021
2.0162016	9.2449245	11.2611261
3.2243224	0.0960096	3.3203320
3.5363536	7.2287229	10.7650765
4.0284028	7.5607561	11.5891589
2.9362936	8.3528353	11.2891289
1.8121812	10.7530753	12.5652565
3.7843784	8.4248425	12.2092209
1.8961896	9.7889789	11.6851685
0.3560356	10.3050305	10.6610661
3.1483148	7.6727673	10.8210821
4.8844884	6.6406641	11.5251525
4.9684968	5.9405941	10.9090909
4.9044904	5.6045605	10.5090509
1.5201520	10.3610361	11.8811881
4.0724072	6.8286829	10.9010901
1.5001500	10.3330333	11.8331833
1.8681868	9.1849185	11.0531053
4.3004300	6.3766377	10.6770677
1.7841784	9.4289429	11.2131213
0.3960396	10.4850485	10.8810881
0.6200620	10.7490749	11.3691369
0.9040904	4.2244224	5.1285129
4.3124312	6.8406841	11.1531153
2.9162916	9.0729073	11.9891989
3.1003100	7.4047405	10.5050505
3.2163216	8.3888389	11.6051605
3.2323232	7.3167317	10.5490549
2.1042104	8.8848885	10.9890989
0.6040604	11.2411241	11.8451845
0.7440744	10.3410341	11.0851085
2.6322632	10.4610461	13.0933093
2.2522252	11.1091109	13.3613361
1.7121712	2.6002600	4.3124312
3.7163716	9.0969097	12.8132813
1.4681468	0.9360936	2.4042404
2.6442644	7.9127913	10.5570557
4.0204020	6.6206621	10.6410641
0.6400640	10.0330033	10.6730673
4.4924492	6.4166417	10.9090909
2.7722772	8.3968397	11.1691169
4.6204620	6.6966697	11.3171317
3.8323832	0.1200120	3.9523952
3.3283328	7.9407941	11.2691269
4.6884688	6.8526853	11.5411541
3.0043004	7.9687969	10.9730973
4.3964396	6.2926293	10.6890689
3.1523152	7.4687469	10.6210621
4.1644164	6.4046405	10.5690569
4.0124012	8.3888389	12.4012401
0.3560356	11.1371137	11.4931493
0.4400440	0.7080708	1.1481148
4.2444244	6.6286629	10.8730873
2.5162516	8.2848285	10.8010801
1.4361436	1.9361936	3.3723372
4.2364236	7.2807281	11.5171517
0.3080308	4.5964596	4.9044904
3.0843084	8.3808381	11.4651465
4.4164416	6.0886089	10.5050505
0.3840384	10.8570857	11.2411241
2.7082708	8.6688669	11.3771377
1.0321032	9.4769477	10.5090509
1.7481748	9.2129213	10.9610961
4.5924592	6.3206321	10.9130913
3.0443044	7.9287929	10.9730973
2.2482248	8.4728473	10.7210721
4.2044204	6.8766877	11.0811081
4.6484648	7.0287029	11.6771677
4.3644364	6.8406841	11.2051205
2.0162016	8.9328933	10.9490949
4.4324432	6.3766377	10.8090809
3.7843784	6.7326733	10.5170517
1.1161116	9.8489849	10.9650965
1.3201320	9.2649265	10.5850585
3.1283128	8.3208321	11.4491449
3.7643764	6.8246825	10.5890589
4.6924692	6.8966897	11.5891589
4.6804680	6.8046805	11.4851485
1.2801280	9.6169617	10.8970897
4.5284528	7.5727573	12.1012101
1.3641364	11.4211421	12.7852785
2.4362436	9.6889689	12.1252125
3.5523552	7.0447045	10.5970597
0.7720772	10.8770877	11.6491649
0.8000800	11.0251025	11.8251825
3.2323232	8.0008001	11.2331233
3.2923292	7.6007601	10.8930893
1.9561956	8.5728573	10.5290529
1.9641964	1.9201920	3.8843884
0.1840184	11.1451145	11.3291329
4.2404240	7.5247525	11.7651765
0.7000700	10.3650365	11.0651065
4.4324432	6.1206121	10.5530553
4.1204120	6.8006801	10.9210921
4.1964196	6.7726773	10.9690969
2.1322132	9.3449345	11.4771477
2.3882388	8.5648565	10.9530953
4.7924792	7.3447345	12.1372137
0.8520852	9.8489849	10.7010701
2.7922792	8.3328333	11.1251125
1.7681768	8.7488749	10.5170517
1.2321232	9.6489649	10.8810881
4.8244824	5.9565957	10.7810781
1.4561456	9.6569657	11.1131113
4.5684568	6.3566357	10.9250925
2.3882388	8.1248125	10.5130513
0.0000000	0.0360036	0.0360036
3.3283328	8.4288429	11.7571757
0.1000100	0.2120212	0.3120312
4.1684168	6.7726773	10.9410941
1.7721772	9.7529753	11.5251525
2.9002900	7.7527753	10.6530653
1.9481948	8.8928893	10.8410841
1.5921592	9.0769077	10.6690669
1.3601360	1.5001500	2.8602860
