#Valores de X 	 AbsorptionProbability
1.5281528	0.9102162
1.5321532	0.9099921
1.5361536	0.9097680
1.5401540	0.9095440
1.5441544	0.9093201
1.5481548	0.9090962
1.5521552	0.9088723
1.5561556	0.9086485
1.5601560	0.9084248
1.5641564	0.9082011
1.5681568	0.9079775
1.5721572	0.9077539
1.5761576	0.9075304
1.5801580	0.9073069
1.5841584	0.9070835
1.5881588	0.9068601
1.5921592	0.9066368
1.5961596	0.9064136
1.6001600	0.9061904
1.6041604	0.9059673
1.6081608	0.9057442
1.6121612	0.9055212
1.6161616	0.9052982
1.6201620	0.9050753
1.6241624	0.9048524
1.6281628	0.9046296
1.6321632	0.9044068
1.6361636	0.9041842
1.6401640	0.9039615
1.6441644	0.9037389
1.6481648	0.9035164
1.6521652	0.9032939
1.6561656	0.9030715
1.6601660	0.9028491
1.6641664	0.9026268
1.6681668	0.9024046
1.6721672	0.9021824
1.6761676	0.9019602
1.6801680	0.9017381
1.6841684	0.9015161
1.6881688	0.9012941
1.6921692	0.9010722
1.6961696	0.9008503
1.7001700	0.9006285
1.7041704	0.9004067
1.7081708	0.9001850
1.7121712	0.8999633
1.7161716	0.8997417
1.7201720	0.8995202
1.7241724	0.8992987
1.7281728	0.8990773
1.7321732	0.8988559
1.7361736	0.8986345
1.7401740	0.8984133
1.7441744	0.8981920
1.7481748	0.8979709
1.7521752	0.8977498
1.7561756	0.8975287
1.7601760	0.8973077
1.7641764	0.8970868
1.7681768	0.8968659
1.7721772	0.8966450
1.7761776	0.8964242
1.7801780	0.8962035
1.7841784	0.8959828
1.7881788	0.8957622
1.7921792	0.8955416
1.7961796	0.8953211
1.8001800	0.8951007
1.8041804	0.8948803
1.8081808	0.8946599
1.8121812	0.8944396
1.8161816	0.8942194
1.8201820	0.8939992
1.8241824	0.8937791
1.8281828	0.8935590
1.8321832	0.8933390
1.8361836	0.8931190
1.8401840	0.8928991
1.8441844	0.8926792
1.8481848	0.8924594
1.8521852	0.8922396
1.8561856	0.8920199
1.8601860	0.8918003
1.8641864	0.8915807
1.8681868	0.8913612
1.8721872	0.8911417
1.8761876	0.8909223
1.8801880	0.8907029
1.8841884	0.8904836
1.8881888	0.8902643
1.8921892	0.8900451
1.8961896	0.8898259
1.9001900	0.8896068
1.9041904	0.8893878
1.9081908	0.8891688
1.9121912	0.8889498
1.9161916	0.8887309
1.9201920	0.8885121
1.9241924	0.8882933
1.9281928	0.8880746
1.9321932	0.8878559
1.9361936	0.8876373
1.9401940	0.8874187
1.9441944	0.8872002
1.9481948	0.8869817
1.9521952	0.8867633
1.9561956	0.8865450
1.9601960	0.8863267
1.9641964	0.8861085
1.9681968	0.8858903
1.9721972	0.8856721
1.9761976	0.8854540
1.9801980	0.8852360
1.9841984	0.8850180
1.9881988	0.8848001
1.9921992	0.8845822
1.9961996	0.8843644
2.0002000	0.8841467
2.0042004	0.8839290
2.0082008	0.8837113
2.0122012	0.8834937
2.0162016	0.8832762
2.0202020	0.8830587
2.0242024	0.8828412
2.0282028	0.8826238
2.0322032	0.8824065
2.0362036	0.8821892
2.0402040	0.8819720
2.0442044	0.8817548
2.0482048	0.8815377
2.0522052	0.8813207
2.0562056	0.8811036
2.0602060	0.8808867
2.0642064	0.8806698
2.0682068	0.8804529
2.0722072	0.8802361
2.0762076	0.8800194
2.0802080	0.8798027
2.0842084	0.8795861
2.0882088	0.8793695
2.0922092	0.8791529
2.0962096	0.8789365
2.1002100	0.8787200
2.1042104	0.8785037
2.1082108	0.8782874
2.1122112	0.8780711
2.1162116	0.8778549
2.1202120	0.8776387
2.1242124	0.8774226
2.1282128	0.8772066
2.1322132	0.8769906
2.1362136	0.8767746
2.1402140	0.8765587
2.1442144	0.8763429
2.1482148	0.8761271
2.1522152	0.8759114
2.1562156	0.8756957
2.1602160	0.8754801
2.1642164	0.8752645
2.1682168	0.8750490
2.1722172	0.8748335
2.1762176	0.8746181
2.1802180	0.8744027
2.1842184	0.8741874
2.1882188	0.8739722
2.1922192	0.8737570
2.1962196	0.8735418
2.2002200	0.8733267
2.2042204	0.8731117
2.2082208	0.8728967
2.2122212	0.8726817
2.2162216	0.8724669
2.2202220	0.8722520
2.2242224	0.8720373
2.2282228	0.8718225
2.2322232	0.8716079
2.2362236	0.8713932
2.2402240	0.8711787
2.2442244	0.8709642
2.2482248	0.8707497
2.2522252	0.8705353
2.2562256	0.8703209
2.2602260	0.8701066
2.2642264	0.8698924
2.2682268	0.8696782
2.2722272	0.8694640
2.2762276	0.8692499
2.2802280	0.8690359
2.2842284	0.8688219
2.2882288	0.8686080
2.2922292	0.8683941
2.2962296	0.8681803
2.3002300	0.8679665
2.3042304	0.8677528
2.3082308	0.8675391
2.3122312	0.8673255
2.3162316	0.8671119
2.3202320	0.8668984
2.3242324	0.8666849
2.3282328	0.8664715
2.3322332	0.8662582
2.3362336	0.8660449
2.3402340	0.8658316
2.3442344	0.8656184
2.3482348	0.8654053
2.3522352	0.8651922
2.3562356	0.8649792
2.3602360	0.8647662
2.3642364	0.8645532
2.3682368	0.8643404
2.3722372	0.8641275
2.3762376	0.8639147
2.3802380	0.8637020
2.3842384	0.8634893
2.3882388	0.8632767
2.3922392	0.8630642
2.3962396	0.8628516
2.4002400	0.8626392
2.4042404	0.8624268
2.4082408	0.8622144
2.4122412	0.8620021
2.4162416	0.8617898
2.4202420	0.8615776
2.4242424	0.8613655
2.4282428	0.8611534
2.4322432	0.8609414
2.4362436	0.8607294
2.4402440	0.8605174
2.4442444	0.8603055
2.4482448	0.8600937
2.4522452	0.8598819
2.4562456	0.8596702
2.4602460	0.8594585
2.4642464	0.8592469
2.4682468	0.8590353
2.4722472	0.8588238
2.4762476	0.8586123
2.4802480	0.8584009
2.4842484	0.8581895
2.4882488	0.8579782
2.4922492	0.8577669
2.4962496	0.8575557
2.5002500	0.8573446
2.5042504	0.8571334
2.5082508	0.8569224
2.5122512	0.8567114
2.5162516	0.8565004
2.5202520	0.8562895
2.5242524	0.8560787
2.5282528	0.8558679
2.5322532	0.8556572
2.5362536	0.8554465
2.5402540	0.8552358
2.5442544	0.8550252
2.5482548	0.8548147
2.5522552	0.8546042
2.5562556	0.8543938
2.5602560	0.8541834
2.5642564	0.8539731
2.5682568	0.8537628
2.5722572	0.8535526
2.5762576	0.8533424
2.5802580	0.8531323
2.5842584	0.8529222
2.5882588	0.8527122
2.5922592	0.8525022
2.5962596	0.8522923
2.6002600	0.8520824
2.6042604	0.8518726
2.6082608	0.8516629
2.6122612	0.8514531
2.6162616	0.8512435
2.6202620	0.8510339
2.6242624	0.8508243
2.6282628	0.8506148
2.6322632	0.8504054
2.6362636	0.8501960
2.6402640	0.8499866
2.6442644	0.8497773
2.6482648	0.8495681
2.6522652	0.8493589
2.6562656	0.8491498
2.6602660	0.8489407
2.6642664	0.8487316
2.6682668	0.8485226
2.6722672	0.8483137
2.6762676	0.8481048
2.6802680	0.8478960
2.6842684	0.8476872
2.6882688	0.8474785
2.6922692	0.8472698
2.6962696	0.8470612
2.7002700	0.8468526
2.7042704	0.8466441
2.7082708	0.8464356
2.7122712	0.8462272
2.7162716	0.8460188
2.7202720	0.8458105
2.7242724	0.8456022
2.7282728	0.8453940
2.7322732	0.8451858
2.7362736	0.8449777
2.7402740	0.8447697
2.7442744	0.8445617
2.7482748	0.8443537
2.7522752	0.8441458
2.7562756	0.8439379
2.7602760	0.8437301
2.7642764	0.8435224
2.7682768	0.8433147
2.7722772	0.8431070
2.7762776	0.8428994
2.7802780	0.8426919
2.7842784	0.8424844
2.7882788	0.8422769
2.7922792	0.8420695
2.7962796	0.8418622
2.8002800	0.8416549
2.8042804	0.8414476
2.8082808	0.8412404
2.8122812	0.8410333
2.8162816	0.8408262
2.8202820	0.8406192
2.8242824	0.8404122
2.8282828	0.8402052
2.8322832	0.8399983
2.8362836	0.8397915
2.8402840	0.8395847
2.8442844	0.8393780
2.8482848	0.8391713
2.8522852	0.8389647
2.8562856	0.8387581
2.8602860	0.8385516
2.8642864	0.8383451
2.8682868	0.8381387
2.8722872	0.8379323
2.8762876	0.8377259
2.8802880	0.8375197
2.8842884	0.8373134
2.8882888	0.8371073
2.8922892	0.8369011
2.8962896	0.8366951
2.9002900	0.8364890
2.9042904	0.8362831
2.9082908	0.8360772
2.9122912	0.8358713
2.9162916	0.8356655
2.9202920	0.8354597
2.9242924	0.8352540
2.9282928	0.8350483
2.9322932	0.8348427
2.9362936	0.8346371
2.9402940	0.8344316
2.9442944	0.8342261
2.9482948	0.8340207
2.9522952	0.8338154
2.9562956	0.8336100
2.9602960	0.8334048
2.9642964	0.8331996
2.9682968	0.8329944
2.9722972	0.8327893
2.9762976	0.8325842
2.9802980	0.8323792
2.9842984	0.8321743
2.9882988	0.8319694
2.9922992	0.8317645
2.9962996	0.8315597
3.0003000	0.8313549
3.0043004	0.8311502
3.0083008	0.8309456
3.0123012	0.8307410
3.0163016	0.8305364
3.0203020	0.8303319
3.0243024	0.8301274
3.0283028	0.8299230
3.0323032	0.8297187
3.0363036	0.8295144
3.0403040	0.8293101
3.0443044	0.8291059
3.0483048	0.8289018
3.0523052	0.8286976
3.0563056	0.8284936
3.0603060	0.8282896
3.0643064	0.8280856
3.0683068	0.8278817
3.0723072	0.8276779
3.0763076	0.8274741
3.0803080	0.8272703
3.0843084	0.8270666
3.0883088	0.8268630
3.0923092	0.8266594
3.0963096	0.8264558
3.1003100	0.8262523
3.1043104	0.8260489
3.1083108	0.8258455
3.1123112	0.8256421
3.1163116	0.8254388
3.1203120	0.8252356
3.1243124	0.8250324
3.1283128	0.8248292
3.1323132	0.8246261
3.1363136	0.8244231
3.1403140	0.8242201
3.1443144	0.8240171
3.1483148	0.8238142
3.1523152	0.8236113
3.1563156	0.8234085
3.1603160	0.8232058
3.1643164	0.8230031
3.1683168	0.8228004
3.1723172	0.8225978
3.1763176	0.8223953
3.1803180	0.8221928
3.1843184	0.8219903
3.1883188	0.8217879
3.1923192	0.8215856
3.1963196	0.8213833
3.2003200	0.8211810
3.2043204	0.8209788
3.2083208	0.8207767
3.2123212	0.8205746
3.2163216	0.8203725
3.2203220	0.8201705
3.2243224	0.8199686
3.2283228	0.8197666
3.2323232	0.8195648
3.2363236	0.8193630
3.2403240	0.8191612
3.2443244	0.8189595
3.2483248	0.8187579
3.2523252	0.8185563
3.2563256	0.8183547
3.2603260	0.8181532
3.2643264	0.8179517
3.2683268	0.8177503
3.2723272	0.8175490
3.2763276	0.8173477
3.2803280	0.8171464
3.2843284	0.8169452
3.2883288	0.8167440
3.2923292	0.8165429
3.2963296	0.8163419
3.3003300	0.8161409
3.3043304	0.8159399
3.3083308	0.8157390
3.3123312	0.8155381
3.3163316	0.8153373
3.3203320	0.8151365
3.3243324	0.8149358
3.3283328	0.8147352
3.3323332	0.8145345
3.3363336	0.8143340
3.3403340	0.8141335
3.3443344	0.8139330
3.3483348	0.8137326
3.3523352	0.8135322
3.3563356	0.8133319
3.3603360	0.8131316
3.3643364	0.8129314
3.3683368	0.8127312
3.3723372	0.8125311
3.3763376	0.8123310
3.3803380	0.8121310
3.3843384	0.8119310
3.3883388	0.8117311
3.3923392	0.8115312
3.3963396	0.8113314
3.4003400	0.8111316
3.4043404	0.8109319
3.4083408	0.8107322
3.4123412	0.8105326
3.4163416	0.8103330
3.4203420	0.8101335
3.4243424	0.8099340
3.4283428	0.8097346
3.4323432	0.8095352
3.4363436	0.8093358
3.4403440	0.8091366
3.4443444	0.8089373
3.4483448	0.8087381
3.4523452	0.8085390
3.4563456	0.8083399
3.4603460	0.8081409
3.4643464	0.8079419
3.4683468	0.8077429
3.4723472	0.8075440
3.4763476	0.8073452
3.4803480	0.8071464
3.4843484	0.8069476
3.4883488	0.8067489
3.4923492	0.8065503
3.4963496	0.8063517
3.5003500	0.8061531
3.5043504	0.8059546
3.5083508	0.8057562
3.5123512	0.8055578
3.5163516	0.8053594
3.5203520	0.8051611
3.5243524	0.8049629
3.5283528	0.8047647
3.5323532	0.8045665
3.5363536	0.8043684
3.5403540	0.8041703
3.5443544	0.8039723
3.5483548	0.8037743
3.5523552	0.8035764
3.5563556	0.8033786
3.5603560	0.8031807
3.5643564	0.8029830
3.5683568	0.8027852
3.5723572	0.8025876
3.5763576	0.8023899
3.5803580	0.8021924
3.5843584	0.8019948
3.5883588	0.8017974
3.5923592	0.8015999
3.5963596	0.8014025
3.6003600	0.8012052
3.6043604	0.8010079
3.6083608	0.8008107
3.6123612	0.8006135
3.6163616	0.8004164
3.6203620	0.8002193
3.6243624	0.8000222
3.6283628	0.7998252
3.6323632	0.7996283
3.6363636	0.7994314
3.6403640	0.7992346
3.6443644	0.7990378
3.6483648	0.7988410
3.6523652	0.7986443
3.6563656	0.7984477
3.6603660	0.7982510
3.6643664	0.7980545
3.6683668	0.7978580
3.6723672	0.7976615
3.6763676	0.7974651
3.6803680	0.7972687
3.6843684	0.7970724
3.6883688	0.7968762
3.6923692	0.7966799
3.6963696	0.7964838
3.7003700	0.7962877
3.7043704	0.7960916
3.7083708	0.7958956
3.7123712	0.7956996
3.7163716	0.7955037
3.7203720	0.7953078
3.7243724	0.7951119
3.7283728	0.7949162
3.7323732	0.7947204
3.7363736	0.7945247
3.7403740	0.7943291
3.7443744	0.7941335
3.7483748	0.7939380
3.7523752	0.7937425
3.7563756	0.7935470
3.7603760	0.7933516
3.7643764	0.7931563
3.7683768	0.7929610
3.7723772	0.7927657
3.7763776	0.7925705
3.7803780	0.7923754
3.7843784	0.7921802
3.7883788	0.7919852
3.7923792	0.7917902
3.7963796	0.7915952
3.8003800	0.7914003
3.8043804	0.7912054
3.8083808	0.7910106
3.8123812	0.7908158
3.8163816	0.7906211
3.8203820	0.7904264
3.8243824	0.7902318
3.8283828	0.7900372
3.8323832	0.7898427
3.8363836	0.7896482
3.8403840	0.7894537
3.8443844	0.7892593
3.8483848	0.7890650
3.8523852	0.7888707
3.8563856	0.7886765
3.8603860	0.7884823
3.8643864	0.7882881
3.8683868	0.7880940
3.8723872	0.7879000
3.8763876	0.7877059
3.8803880	0.7875120
3.8843884	0.7873181
3.8883888	0.7871242
3.8923892	0.7869304
3.8963896	0.7867366
3.9003900	0.7865429
3.9043904	0.7863492
3.9083908	0.7861556
3.9123912	0.7859620
3.9163916	0.7857685
3.9203920	0.7855750
3.9243924	0.7853816
3.9283928	0.7851882
3.9323932	0.7849948
3.9363936	0.7848016
3.9403940	0.7846083
3.9443944	0.7844151
3.9483948	0.7842220
3.9523952	0.7840289
3.9563956	0.7838358
3.9603960	0.7836428
3.9643964	0.7834498
3.9683968	0.7832569
3.9723972	0.7830641
3.9763976	0.7828712
3.9803980	0.7826785
3.9843984	0.7824857
3.9883988	0.7822931
3.9923992	0.7821004
3.9963996	0.7819079
4.0004000	0.7817153
4.0044004	0.7815228
4.0084008	0.7813304
4.0124012	0.7811380
4.0164016	0.7809457
4.0204020	0.7807534
4.0244024	0.7805611
4.0284028	0.7803689
4.0324032	0.7801768
4.0364036	0.7799847
4.0404040	0.7797926
4.0444044	0.7796006
4.0484048	0.7794086
4.0524052	0.7792167
4.0564056	0.7790249
4.0604060	0.7788330
4.0644064	0.7786413
4.0684068	0.7784495
4.0724072	0.7782578
4.0764076	0.7780662
4.0804080	0.7778746
4.0844084	0.7776831
4.0884088	0.7774916
4.0924092	0.7773001
4.0964096	0.7771087
4.1004100	0.7769174
4.1044104	0.7767261
4.1084108	0.7765348
4.1124112	0.7763436
4.1164116	0.7761525
4.1204120	0.7759614
4.1244124	0.7757703
4.1284128	0.7755793
4.1324132	0.7753883
4.1364136	0.7751974
4.1404140	0.7750065
4.1444144	0.7748156
4.1484148	0.7746249
4.1524152	0.7744341
4.1564156	0.7742434
4.1604160	0.7740528
4.1644164	0.7738622
4.1684168	0.7736716
4.1724172	0.7734811
4.1764176	0.7732907
4.1804180	0.7731003
4.1844184	0.7729099
4.1884188	0.7727196
4.1924192	0.7725293
4.1964196	0.7723391
4.2004200	0.7721489
4.2044204	0.7719588
4.2084208	0.7717687
4.2124212	0.7715787
4.2164216	0.7713887
4.2204220	0.7711987
4.2244224	0.7710088
4.2284228	0.7708190
4.2324232	0.7706292
4.2364236	0.7704394
4.2404240	0.7702497
4.2444244	0.7700601
4.2484248	0.7698704
4.2524252	0.7696809
4.2564256	0.7694914
4.2604260	0.7693019
4.2644264	0.7691124
4.2684268	0.7689231
4.2724272	0.7687337
4.2764276	0.7685444
4.2804280	0.7683552
4.2844284	0.7681660
4.2884288	0.7679769
4.2924292	0.7677878
4.2964296	0.7675987
4.3004300	0.7674097
4.3044304	0.7672207
4.3084308	0.7670318
4.3124312	0.7668429
4.3164316	0.7666541
4.3204320	0.7664653
4.3244324	0.7662766
4.3284328	0.7660879
4.3324332	0.7658993
4.3364336	0.7657107
4.3404340	0.7655222
4.3444344	0.7653337
4.3484348	0.7651452
4.3524352	0.7649568
4.3564356	0.7647684
4.3604360	0.7645801
4.3644364	0.7643919
4.3684368	0.7642036
4.3724372	0.7640155
4.3764376	0.7638273
4.3804380	0.7636393
4.3844384	0.7634512
4.3884388	0.7632632
4.3924392	0.7630753
4.3964396	0.7628874
4.4004400	0.7626996
4.4044404	0.7625118
4.4084408	0.7623240
4.4124412	0.7621363
4.4164416	0.7619486
4.4204420	0.7617610
4.4244424	0.7615734
4.4284428	0.7613859
4.4324432	0.7611984
4.4364436	0.7610110
4.4404440	0.7608236
4.4444444	0.7606363
4.4484448	0.7604490
4.4524452	0.7602617
4.4564456	0.7600745
4.4604460	0.7598874
4.4644464	0.7597003
4.4684468	0.7595132
4.4724472	0.7593262
4.4764476	0.7591392
4.4804480	0.7589523
4.4844484	0.7587654
4.4884488	0.7585786
4.4924492	0.7583918
4.4964496	0.7582050
4.5004500	0.7580183
4.5044504	0.7578317
4.5084508	0.7576451
4.5124512	0.7574585
4.5164516	0.7572720
4.5204520	0.7570855
4.5244524	0.7568991
4.5284528	0.7567127
4.5324532	0.7565264
4.5364536	0.7563401
4.5404540	0.7561539
4.5444544	0.7559677
4.5484548	0.7557816
4.5524552	0.7555955
4.5564556	0.7554094
4.5604560	0.7552234
4.5644564	0.7550374
4.5684568	0.7548515
4.5724572	0.7546657
4.5764576	0.7544798
4.5804580	0.7542941
4.5844584	0.7541083
4.5884588	0.7539226
4.5924592	0.7537370
4.5964596	0.7535514
4.6004600	0.7533658
4.6044604	0.7531803
4.6084608	0.7529949
4.6124612	0.7528095
4.6164616	0.7526241
4.6204620	0.7524388
4.6244624	0.7522535
4.6284628	0.7520683
4.6324632	0.7518831
4.6364636	0.7516979
4.6404640	0.7515129
4.6444644	0.7513278
