# X(mm) 	 Y(mm) 	 Z(mm) 	 color
-5.4138	-10.1264	-2.32653	2
-5.75217	-10.5093	-4.63917	2
-6.09053	-10.8922	-6.95181	2
-6.42889	-11.2751	-9.26445	2
2	-3.2	54.5403	2
3.65458	-4.22592	53.1914	2
5.30916	-5.25184	51.8426	2
6.96374	-6.27776	50.4938	2
8.61832	-7.30369	49.145	2
10.2729	-8.32961	47.7962	2
11.9275	-9.35553	46.4474	2
13.5821	-10.3815	45.0986	2
15.2366	-11.4074	43.7498	2
16.8912	-12.4333	42.401	2
18.5458	-13.4592	41.0522	2
20.2004	-14.4851	39.7034	2
21.855	-15.5111	38.3546	2
23.5096	-16.537	37.0058	2
25.1641	-17.5629	35.657	2
26.8187	-18.5888	34.3082	2
28.4733	-19.6147	32.9594	2
30.1279	-20.6407	31.6106	2
31.7825	-21.6666	30.2618	2
33.437	-22.6925	28.913	2
-3.6	3.2	54.366	2
-5.91065	3.59952	54.0333	2
-8.22131	3.99905	53.7006	2
-10.532	4.39857	53.3679	2
-12.8426	4.7981	53.0353	2
-15.1533	5.19762	52.7026	2
-17.4639	5.59714	52.3699	2
-19.7746	5.99667	52.0372	2
-22.0852	6.39619	51.7045	2
-24.3959	6.79572	51.3718	2
-26.7065	7.19524	51.0391	2
-29.0172	7.59476	50.7064	2
-31.3278	7.99429	50.3738	2
-33.6385	8.39381	50.0411	2
-35.9491	8.79334	49.7084	2
-38.2598	9.19286	49.3757	2
-40.5705	9.59238	49.043	2
-42.8811	9.99191	48.7103	2
-45.1918	10.3914	48.3776	2
-47.5024	10.791	48.045	2
-3.8	-3.4	42.6913	2
-5.4471	-4.54073	41.4282	2
-7.0942	-5.68146	40.1652	2
-8.74131	-6.82219	38.9022	2
-10.3884	-7.96292	37.6392	2
-12.0355	-9.10365	36.3762	2
-13.6826	-10.2444	35.1132	2
-15.3297	-11.3851	33.8501	2
-16.9768	-12.5258	32.5871	2
-18.6239	-13.6666	31.3241	2
-20.271	-14.8073	30.0611	2
-21.9181	-15.948	28.7981	2
